Age,Annual_Income_LPA,Loan_Amount_LPA,Loan_Term_Months,CIBIL_Score,Employment_Years,Existing_Loans,Education,Employment_Type,Property_Area,Gender,Dependents,Default,Loan_to_Income_Ratio,CIBIL_Band,LTI_Band
28,9.79,9.5,48,708,13,0,Diploma,Salaried,Urban,Male,3,0,0.97,"670-740
(Very Good)",<1x
42,8.7,13.47,60,782,15,0,Graduate,Salaried,Semi-Urban,Male,0,0,1.548,"740-800
(Excellent)",1.5-2x
30,12.98,22.79,24,743,7,1,Post-Graduate,Salaried,Urban,Male,2,0,1.756,"740-800
(Excellent)",1.5-2x
60,11.35,37.63,36,711,9,1,Graduate,Business,Urban,Female,1,0,3.315,"670-740
(Very Good)",>3x
39,4.57,6.74,60,673,16,0,Graduate,Salaried,Rural,Male,0,0,1.475,"670-740
(Very Good)",1-1.5x
25,8.77,10.85,12,488,17,2,Post-Graduate,Salaried,Rural,Male,2,0,1.237,"300-500
(Poor)",1-1.5x
46,2.4,9.24,12,775,19,3,Graduate,Salaried,Urban,Male,0,0,3.85,"740-800
(Excellent)",>3x
35,5.8,3.08,24,699,15,3,Post-Graduate,Freelance,Semi-Urban,Male,3,0,0.531,"670-740
(Very Good)",<1x
30,9.8,39.13,36,841,16,0,Under-Graduate,Salaried,Semi-Urban,Male,2,0,3.993,"800+
(Exceptional)",>3x
47,6.5,18.65,24,751,15,2,Under-Graduate,Self-Employed,Rural,Male,0,1,2.869,"740-800
(Excellent)",2.5-3x
23,7.84,26.65,60,676,18,1,Graduate,Business,Urban,Male,0,0,3.399,"670-740
(Very Good)",>3x
41,5.28,8.08,36,805,7,1,Under-Graduate,Salaried,Semi-Urban,Female,1,0,1.53,"800+
(Exceptional)",1.5-2x
49,11.81,6.5,36,812,5,1,Post-Graduate,Freelance,Semi-Urban,Male,1,0,0.55,"800+
(Exceptional)",<1x
28,5.72,17.63,24,702,5,2,Under-Graduate,Freelance,Urban,Male,1,0,3.082,"670-740
(Very Good)",>3x
29,4.54,15.52,36,815,8,1,Post-Graduate,Business,Rural,Male,0,0,3.419,"800+
(Exceptional)",>3x
56,10.21,31.57,48,675,3,0,Post-Graduate,Salaried,Urban,Male,1,0,3.092,"670-740
(Very Good)",>3x
35,2.58,2.58,48,732,11,1,Diploma,Self-Employed,Urban,Female,0,0,1.0,"670-740
(Very Good)",<1x
38,8.1,25.41,48,765,11,1,Under-Graduate,Business,Semi-Urban,Female,2,0,3.137,"740-800
(Excellent)",>3x
57,3.21,10.24,36,782,16,0,Graduate,Freelance,Semi-Urban,Male,2,0,3.19,"740-800
(Excellent)",>3x
61,12.92,36.24,60,769,14,2,Graduate,Salaried,Urban,Male,1,0,2.805,"740-800
(Excellent)",2.5-3x
25,5.13,16.32,48,693,8,1,Graduate,Business,Urban,Male,2,0,3.181,"670-740
(Very Good)",>3x
23,6.51,22.53,48,807,6,1,Graduate,Salaried,Rural,Female,0,0,3.461,"800+
(Exceptional)",>3x
27,7.69,20.36,12,710,9,0,Graduate,Salaried,Urban,Male,0,0,2.648,"670-740
(Very Good)",2.5-3x
25,1.89,1.53,12,674,15,1,Graduate,Salaried,Semi-Urban,Female,1,0,0.81,"670-740
(Very Good)",<1x
50,4.06,8.96,24,675,11,0,Under-Graduate,Business,Semi-Urban,Female,1,0,2.207,"670-740
(Very Good)",2-2.5x
39,11.22,8.66,48,875,6,0,Graduate,Salaried,Urban,Female,1,0,0.772,"800+
(Exceptional)",<1x
47,10.1,19.46,36,660,17,1,Post-Graduate,Salaried,Rural,Male,2,0,1.927,"580-670
(Good)",1.5-2x
55,7.11,13.69,36,823,14,1,Graduate,Freelance,Semi-Urban,Male,3,0,1.925,"800+
(Exceptional)",1.5-2x
31,2.67,1.95,48,629,5,1,Graduate,Salaried,Semi-Urban,Male,1,0,0.73,"580-670
(Good)",<1x
57,8.53,14.68,48,759,11,0,Graduate,Self-Employed,Semi-Urban,Male,2,0,1.721,"740-800
(Excellent)",1.5-2x
35,9.21,8.18,60,743,10,1,Graduate,Salaried,Semi-Urban,Male,0,0,0.888,"740-800
(Excellent)",<1x
52,6.17,20.54,36,849,19,0,Under-Graduate,Salaried,Semi-Urban,Female,0,0,3.329,"800+
(Exceptional)",>3x
36,12.5,47.71,48,667,2,3,Under-Graduate,Self-Employed,Rural,Male,2,0,3.817,"580-670
(Good)",>3x
29,3.98,3.0,24,645,1,1,Graduate,Freelance,Urban,Male,1,0,0.754,"580-670
(Good)",<1x
35,4.42,16.99,24,710,5,1,Post-Graduate,Salaried,Urban,Male,1,0,3.844,"670-740
(Very Good)",>3x
44,1.35,3.14,24,853,4,0,Post-Graduate,Business,Urban,Female,0,0,2.326,"800+
(Exceptional)",2-2.5x
61,10.42,16.14,36,649,17,0,Under-Graduate,Salaried,Urban,Female,1,0,1.549,"580-670
(Good)",1.5-2x
42,7.24,5.57,36,512,15,3,Under-Graduate,Salaried,Urban,Male,0,0,0.769,"500-580
(Fair)",<1x
37,2.19,4.93,48,724,7,0,Post-Graduate,Salaried,Rural,Male,1,0,2.251,"670-740
(Very Good)",2-2.5x
39,2.09,6.86,24,795,19,1,Post-Graduate,Salaried,Semi-Urban,Male,0,0,3.282,"740-800
(Excellent)",>3x
45,3.55,10.56,48,638,10,1,Under-Graduate,Salaried,Semi-Urban,Male,0,0,2.975,"580-670
(Good)",2.5-3x
47,9.66,6.53,36,787,9,0,Graduate,Salaried,Semi-Urban,Male,0,0,0.676,"740-800
(Excellent)",<1x
46,5.01,3.78,24,637,11,2,Graduate,Salaried,Rural,Female,0,0,0.754,"580-670
(Good)",<1x
50,3.7,7.07,36,708,5,1,Diploma,Salaried,Semi-Urban,Male,2,0,1.911,"670-740
(Very Good)",1.5-2x
36,3.28,5.03,24,780,19,0,Under-Graduate,Salaried,Rural,Male,0,0,1.534,"740-800
(Excellent)",1.5-2x
22,3.19,4.19,36,625,4,0,Post-Graduate,Self-Employed,Urban,Male,0,0,1.313,"580-670
(Good)",1-1.5x
46,1.88,2.79,36,734,8,0,Post-Graduate,Business,Rural,Female,1,0,1.484,"670-740
(Very Good)",1-1.5x
28,2.91,9.64,24,817,15,2,Graduate,Self-Employed,Semi-Urban,Male,1,0,3.313,"800+
(Exceptional)",>3x
30,3.16,11.86,24,757,13,1,Post-Graduate,Salaried,Urban,Male,0,0,3.753,"740-800
(Excellent)",>3x
45,9.04,17.34,36,662,7,0,Post-Graduate,Freelance,Semi-Urban,Female,0,0,1.918,"580-670
(Good)",1.5-2x
22,5.43,19.94,60,841,19,0,Graduate,Business,Semi-Urban,Male,3,0,3.672,"800+
(Exceptional)",>3x
29,3.66,5.95,36,772,18,1,Under-Graduate,Salaried,Urban,Female,2,0,1.626,"740-800
(Excellent)",1.5-2x
45,23.99,52.0,48,571,13,1,Under-Graduate,Salaried,Semi-Urban,Male,1,1,2.168,"500-580
(Fair)",2-2.5x
32,4.03,5.2,48,789,6,1,Graduate,Self-Employed,Urban,Female,1,0,1.29,"740-800
(Excellent)",1-1.5x
38,12.09,33.15,60,674,4,0,Post-Graduate,Self-Employed,Urban,Male,0,0,2.742,"670-740
(Very Good)",2.5-3x
29,15.87,62.31,48,735,17,0,Graduate,Business,Rural,Male,0,0,3.926,"670-740
(Very Good)",>3x
56,2.34,6.11,36,800,1,1,Post-Graduate,Self-Employed,Semi-Urban,Female,1,0,2.611,"740-800
(Excellent)",2.5-3x
56,6.27,10.99,48,676,10,3,Graduate,Self-Employed,Rural,Male,2,0,1.753,"670-740
(Very Good)",1.5-2x
54,4.4,12.18,48,588,7,0,Post-Graduate,Freelance,Semi-Urban,Male,0,0,2.768,"580-670
(Good)",2.5-3x
26,4.19,3.9,36,840,0,1,Under-Graduate,Salaried,Urban,Male,2,0,0.931,"800+
(Exceptional)",<1x
60,8.37,30.22,36,813,11,1,Graduate,Salaried,Semi-Urban,Male,0,0,3.611,"800+
(Exceptional)",>3x
49,4.13,9.34,12,713,1,1,Diploma,Business,Semi-Urban,Male,0,0,2.262,"670-740
(Very Good)",2-2.5x
28,4.46,9.24,48,788,17,0,Diploma,Salaried,Rural,Female,0,0,2.072,"740-800
(Excellent)",2-2.5x
30,5.42,13.82,48,690,6,2,Graduate,Business,Urban,Female,0,0,2.55,"670-740
(Very Good)",2.5-3x
29,4.8,12.9,24,727,16,1,Graduate,Freelance,Rural,Female,3,0,2.688,"670-740
(Very Good)",2.5-3x
33,2.97,2.23,36,708,13,1,Diploma,Self-Employed,Rural,Male,1,0,0.751,"670-740
(Very Good)",<1x
55,9.67,27.94,36,693,6,0,Diploma,Self-Employed,Semi-Urban,Male,0,0,2.889,"670-740
(Very Good)",2.5-3x
54,11.26,15.16,24,748,2,0,Graduate,Salaried,Rural,Female,3,0,1.346,"740-800
(Excellent)",1-1.5x
44,7.37,22.1,60,623,5,0,Graduate,Salaried,Urban,Male,2,0,2.999,"580-670
(Good)",2.5-3x
45,4.79,16.18,24,699,19,1,Graduate,Salaried,Rural,Male,2,0,3.378,"670-740
(Very Good)",>3x
58,3.93,13.02,12,745,1,0,Diploma,Self-Employed,Semi-Urban,Male,3,0,3.313,"740-800
(Excellent)",>3x
56,3.93,9.56,36,867,16,1,Graduate,Business,Urban,Male,0,0,2.433,"800+
(Exceptional)",2-2.5x
61,24.68,57.27,48,626,11,0,Post-Graduate,Self-Employed,Rural,Male,2,0,2.321,"580-670
(Good)",2-2.5x
43,10.53,10.53,12,761,11,1,Under-Graduate,Salaried,Semi-Urban,Male,2,0,1.0,"740-800
(Excellent)",<1x
48,3.62,11.63,48,770,16,1,Graduate,Salaried,Semi-Urban,Female,2,0,3.213,"740-800
(Excellent)",>3x
56,6.62,9.6,36,569,9,0,Post-Graduate,Business,Semi-Urban,Male,2,0,1.45,"500-580
(Fair)",1-1.5x
22,4.83,10.81,24,752,2,0,Graduate,Salaried,Urban,Male,0,0,2.238,"740-800
(Excellent)",2-2.5x
56,8.52,12.74,24,790,19,0,Under-Graduate,Salaried,Semi-Urban,Male,2,0,1.495,"740-800
(Excellent)",1-1.5x
58,8.31,8.05,36,767,17,1,Graduate,Business,Rural,Male,0,0,0.969,"740-800
(Excellent)",<1x
35,11.5,31.09,24,713,12,1,Post-Graduate,Self-Employed,Urban,Male,0,0,2.703,"670-740
(Very Good)",2.5-3x
24,3.6,2.48,60,746,11,0,Post-Graduate,Salaried,Urban,Male,0,0,0.689,"740-800
(Excellent)",<1x
22,6.39,19.94,48,733,16,1,Graduate,Business,Urban,Female,3,0,3.121,"670-740
(Very Good)",>3x
26,2.1,3.38,60,584,3,0,Graduate,Salaried,Urban,Male,0,0,1.61,"580-670
(Good)",1.5-2x
47,2.82,1.41,24,735,9,0,Graduate,Freelance,Semi-Urban,Male,1,0,0.5,"670-740
(Very Good)",<1x
35,10.2,23.35,60,690,10,0,Graduate,Salaried,Semi-Urban,Male,1,0,2.289,"670-740
(Very Good)",2-2.5x
60,3.39,2.25,36,663,5,2,Under-Graduate,Salaried,Rural,Female,3,0,0.664,"580-670
(Good)",<1x
48,3.62,5.31,36,900,5,0,Under-Graduate,Business,Semi-Urban,Female,0,0,1.467,"800+
(Exceptional)",1-1.5x
30,5.97,17.76,12,820,8,0,Post-Graduate,Salaried,Urban,Female,2,0,2.975,"800+
(Exceptional)",2.5-3x
36,9.1,6.55,12,627,14,0,Post-Graduate,Self-Employed,Rural,Male,2,0,0.72,"580-670
(Good)",<1x
36,3.17,10.9,48,747,1,0,Post-Graduate,Business,Semi-Urban,Female,1,0,3.438,"740-800
(Excellent)",>3x
47,0.74,0.38,36,836,3,1,Under-Graduate,Business,Semi-Urban,Male,1,0,0.514,"800+
(Exceptional)",<1x
34,3.56,4.86,24,600,4,0,Graduate,Freelance,Semi-Urban,Male,2,0,1.365,"580-670
(Good)",1-1.5x
53,12.37,38.26,36,726,16,0,Graduate,Salaried,Rural,Female,3,0,3.093,"670-740
(Very Good)",>3x
60,7.37,11.84,24,729,7,1,Graduate,Self-Employed,Semi-Urban,Female,2,0,1.607,"670-740
(Very Good)",1.5-2x
53,13.28,11.38,36,618,7,0,Post-Graduate,Salaried,Urban,Male,0,0,0.857,"580-670
(Good)",<1x
25,3.04,5.35,36,750,11,1,Graduate,Salaried,Semi-Urban,Male,2,0,1.76,"740-800
(Excellent)",1.5-2x
51,2.24,3.24,48,809,7,1,Graduate,Business,Urban,Male,1,0,1.446,"800+
(Exceptional)",1-1.5x
58,7.92,27.32,48,840,18,0,Graduate,Salaried,Urban,Male,1,0,3.449,"800+
(Exceptional)",>3x
44,6.93,11.07,36,700,2,1,Under-Graduate,Self-Employed,Urban,Male,2,0,1.597,"670-740
(Very Good)",1.5-2x
60,7.21,23.51,36,900,17,0,Graduate,Salaried,Urban,Female,0,0,3.261,"800+
(Exceptional)",>3x
36,10.5,38.03,36,555,18,1,Graduate,Self-Employed,Urban,Female,2,0,3.622,"500-580
(Fair)",>3x
50,7.73,15.6,48,748,18,1,Graduate,Freelance,Urban,Female,1,0,2.018,"740-800
(Excellent)",2-2.5x
57,7.65,28.19,36,607,14,0,Graduate,Salaried,Semi-Urban,Female,2,0,3.685,"580-670
(Good)",>3x
34,9.21,16.77,24,727,5,1,Post-Graduate,Self-Employed,Rural,Male,0,0,1.821,"670-740
(Very Good)",1.5-2x
53,8.11,31.42,12,678,15,2,Graduate,Business,Rural,Female,1,0,3.874,"670-740
(Very Good)",>3x
28,10.04,8.16,36,760,7,3,Graduate,Salaried,Urban,Male,2,0,0.813,"740-800
(Excellent)",<1x
43,10.99,31.92,36,709,15,1,Post-Graduate,Salaried,Semi-Urban,Male,0,0,2.904,"670-740
(Very Good)",2.5-3x
49,15.04,33.51,48,653,17,1,Graduate,Self-Employed,Rural,Male,0,0,2.228,"580-670
(Good)",2-2.5x
23,4.06,7.54,24,659,19,0,Graduate,Salaried,Urban,Male,3,0,1.857,"580-670
(Good)",1.5-2x
27,8.01,21.74,36,874,15,0,Under-Graduate,Salaried,Semi-Urban,Female,0,0,2.714,"800+
(Exceptional)",2.5-3x
49,4.8,14.22,48,755,10,1,Graduate,Business,Semi-Urban,Female,3,0,2.963,"740-800
(Excellent)",2.5-3x
49,3.64,1.88,48,583,6,0,Graduate,Salaried,Urban,Male,0,0,0.516,"580-670
(Good)",<1x
41,3.97,4.3,36,764,16,2,Graduate,Freelance,Rural,Female,1,0,1.083,"740-800
(Excellent)",1-1.5x
51,8.07,24.17,36,704,16,0,Post-Graduate,Business,Rural,Male,2,0,2.995,"670-740
(Very Good)",2.5-3x
32,7.71,21.84,36,720,11,0,Post-Graduate,Self-Employed,Urban,Female,2,0,2.833,"670-740
(Very Good)",2.5-3x
49,7.63,29.61,60,785,12,0,Post-Graduate,Salaried,Urban,Male,1,0,3.881,"740-800
(Excellent)",>3x
46,5.24,16.58,24,814,9,2,Under-Graduate,Salaried,Urban,Male,1,0,3.164,"800+
(Exceptional)",>3x
60,6.01,23.0,60,651,6,1,Graduate,Salaried,Urban,Male,2,0,3.827,"580-670
(Good)",>3x
54,9.8,29.0,48,717,13,1,Graduate,Business,Semi-Urban,Male,0,0,2.959,"670-740
(Very Good)",2.5-3x
22,2.45,3.78,36,676,0,0,Under-Graduate,Salaried,Semi-Urban,Male,1,0,1.543,"670-740
(Very Good)",1.5-2x
48,6.09,5.29,12,767,16,2,Diploma,Salaried,Urban,Female,0,0,0.869,"740-800
(Excellent)",<1x
34,6.33,20.49,36,701,3,0,Graduate,Salaried,Rural,Male,1,0,3.237,"670-740
(Very Good)",>3x
24,9.43,25.98,36,722,4,2,Post-Graduate,Salaried,Urban,Female,0,1,2.755,"670-740
(Very Good)",2.5-3x
60,2.67,1.79,24,698,19,1,Graduate,Salaried,Urban,Female,0,0,0.67,"670-740
(Very Good)",<1x
27,14.71,25.89,48,711,6,0,Graduate,Self-Employed,Urban,Male,1,0,1.76,"670-740
(Very Good)",1.5-2x
29,6.82,26.25,60,856,9,1,Graduate,Salaried,Semi-Urban,Male,0,1,3.849,"800+
(Exceptional)",>3x
48,7.04,15.85,36,900,16,1,Graduate,Salaried,Urban,Female,0,0,2.251,"800+
(Exceptional)",2-2.5x
30,4.72,9.51,48,750,6,0,Under-Graduate,Salaried,Urban,Male,2,0,2.015,"740-800
(Excellent)",2-2.5x
58,8.29,17.43,12,712,0,2,Post-Graduate,Self-Employed,Urban,Female,1,0,2.103,"670-740
(Very Good)",2-2.5x
54,6.18,7.61,36,592,6,1,Graduate,Self-Employed,Rural,Male,2,0,1.231,"580-670
(Good)",1-1.5x
45,12.39,22.18,24,659,10,0,Graduate,Salaried,Rural,Male,2,0,1.79,"580-670
(Good)",1.5-2x
36,2.53,4.54,36,709,8,0,Under-Graduate,Self-Employed,Urban,Female,0,1,1.794,"670-740
(Very Good)",1.5-2x
53,6.67,4.56,60,662,11,1,Graduate,Salaried,Urban,Male,1,0,0.684,"580-670
(Good)",<1x
53,7.67,24.44,48,671,2,1,Post-Graduate,Freelance,Semi-Urban,Male,0,1,3.186,"670-740
(Very Good)",>3x
45,5.37,10.51,12,846,3,1,Graduate,Salaried,Semi-Urban,Male,2,0,1.957,"800+
(Exceptional)",1.5-2x
33,4.71,15.91,36,722,3,1,Post-Graduate,Self-Employed,Urban,Female,3,1,3.378,"670-740
(Very Good)",>3x
60,4.83,16.79,36,729,12,1,Graduate,Business,Rural,Female,1,0,3.476,"670-740
(Very Good)",>3x
23,6.66,8.27,36,666,18,3,Graduate,Business,Semi-Urban,Male,2,0,1.242,"580-670
(Good)",1-1.5x
24,2.03,5.69,48,814,9,1,Graduate,Salaried,Semi-Urban,Male,0,0,2.803,"800+
(Exceptional)",2.5-3x
58,10.71,23.06,48,702,4,2,Graduate,Salaried,Semi-Urban,Male,1,0,2.153,"670-740
(Very Good)",2-2.5x
38,4.5,16.11,36,678,6,0,Graduate,Self-Employed,Rural,Male,2,0,3.58,"670-740
(Very Good)",>3x
23,6.48,8.13,36,593,15,0,Post-Graduate,Salaried,Semi-Urban,Male,0,0,1.255,"580-670
(Good)",1-1.5x
23,7.48,21.49,24,715,0,0,Graduate,Business,Urban,Female,0,0,2.873,"670-740
(Very Good)",2.5-3x
49,4.38,11.51,24,675,11,1,Graduate,Self-Employed,Urban,Male,1,0,2.628,"670-740
(Very Good)",2.5-3x
44,5.55,8.51,36,854,1,2,Post-Graduate,Self-Employed,Semi-Urban,Male,2,0,1.533,"800+
(Exceptional)",1.5-2x
58,1.77,1.73,36,867,6,0,Post-Graduate,Salaried,Urban,Female,1,0,0.977,"800+
(Exceptional)",<1x
53,9.31,25.89,48,621,10,0,Diploma,Self-Employed,Semi-Urban,Male,3,1,2.781,"580-670
(Good)",2.5-3x
54,11.47,35.39,48,630,12,2,Post-Graduate,Self-Employed,Rural,Male,0,0,3.085,"580-670
(Good)",>3x
22,2.16,3.47,12,697,1,0,Post-Graduate,Business,Semi-Urban,Male,1,0,1.606,"670-740
(Very Good)",1.5-2x
40,4.7,12.96,36,654,6,1,Post-Graduate,Salaried,Rural,Male,2,0,2.757,"580-670
(Good)",2.5-3x
23,2.87,5.4,24,737,14,1,Diploma,Salaried,Urban,Female,0,0,1.882,"670-740
(Very Good)",1.5-2x
47,5.39,16.15,24,693,10,2,Under-Graduate,Salaried,Rural,Male,2,1,2.996,"670-740
(Very Good)",2.5-3x
53,8.85,10.6,48,742,1,0,Graduate,Salaried,Semi-Urban,Male,0,0,1.198,"740-800
(Excellent)",1-1.5x
27,10.85,39.23,12,801,6,0,Graduate,Self-Employed,Urban,Female,0,0,3.616,"800+
(Exceptional)",>3x
53,11.76,17.71,36,634,3,1,Graduate,Business,Semi-Urban,Female,0,0,1.506,"580-670
(Good)",1.5-2x
25,13.17,23.54,24,799,10,3,Post-Graduate,Salaried,Urban,Male,3,0,1.787,"740-800
(Excellent)",1.5-2x
32,5.25,3.69,48,661,1,1,Under-Graduate,Business,Semi-Urban,Male,1,0,0.703,"580-670
(Good)",<1x
38,3.01,2.68,36,891,15,0,Post-Graduate,Salaried,Semi-Urban,Female,2,0,0.89,"800+
(Exceptional)",<1x
59,5.6,12.91,24,849,6,1,Graduate,Salaried,Urban,Male,0,0,2.305,"800+
(Exceptional)",2-2.5x
45,8.77,12.6,36,710,12,3,Under-Graduate,Salaried,Semi-Urban,Female,1,1,1.437,"670-740
(Very Good)",1-1.5x
26,2.87,9.83,48,642,4,2,Under-Graduate,Salaried,Semi-Urban,Male,1,0,3.425,"580-670
(Good)",>3x
55,16.25,8.96,60,627,16,3,Graduate,Business,Urban,Female,3,1,0.551,"580-670
(Good)",<1x
27,10.28,18.78,24,789,11,0,Post-Graduate,Salaried,Urban,Male,2,0,1.827,"740-800
(Excellent)",1.5-2x
43,5.3,8.91,48,717,18,0,Graduate,Self-Employed,Urban,Male,2,0,1.681,"670-740
(Very Good)",1.5-2x
32,3.92,2.23,60,794,6,1,Under-Graduate,Salaried,Semi-Urban,Female,0,0,0.569,"740-800
(Excellent)",<1x
37,4.02,3.76,60,896,5,2,Under-Graduate,Freelance,Rural,Male,1,0,0.935,"800+
(Exceptional)",<1x
54,6.27,12.21,36,658,7,0,Post-Graduate,Salaried,Rural,Male,1,0,1.947,"580-670
(Good)",1.5-2x
30,5.23,11.64,36,621,12,0,Post-Graduate,Salaried,Semi-Urban,Male,3,0,2.226,"580-670
(Good)",2-2.5x
27,10.61,20.32,36,735,4,2,Under-Graduate,Salaried,Semi-Urban,Male,0,0,1.915,"670-740
(Very Good)",1.5-2x
37,4.88,11.51,48,811,1,0,Post-Graduate,Salaried,Urban,Female,0,0,2.359,"800+
(Exceptional)",2-2.5x
50,8.13,21.0,36,644,8,0,Graduate,Salaried,Semi-Urban,Male,1,0,2.583,"580-670
(Good)",2.5-3x
24,5.9,3.15,48,722,10,1,Under-Graduate,Business,Urban,Female,0,0,0.534,"670-740
(Very Good)",<1x
41,7.05,14.98,36,829,5,1,Graduate,Self-Employed,Urban,Male,0,0,2.125,"800+
(Exceptional)",2-2.5x
57,5.23,20.25,48,589,6,1,Graduate,Self-Employed,Semi-Urban,Male,2,0,3.872,"580-670
(Good)",>3x
40,9.17,21.24,48,738,6,0,Under-Graduate,Salaried,Urban,Male,1,0,2.316,"670-740
(Very Good)",2-2.5x
47,9.26,26.59,24,676,18,1,Under-Graduate,Salaried,Semi-Urban,Female,2,0,2.871,"670-740
(Very Good)",2.5-3x
24,7.91,12.59,48,729,5,1,Graduate,Salaried,Rural,Female,2,0,1.592,"670-740
(Very Good)",1.5-2x
40,8.64,27.73,36,776,10,1,Graduate,Freelance,Urban,Male,0,0,3.209,"740-800
(Excellent)",>3x
41,3.4,10.9,48,737,10,1,Graduate,Business,Urban,Female,1,0,3.206,"670-740
(Very Good)",>3x
53,7.28,16.92,36,639,6,0,Graduate,Business,Rural,Male,0,0,2.324,"580-670
(Good)",2-2.5x
28,12.7,49.73,36,679,1,0,Graduate,Business,Semi-Urban,Male,3,0,3.916,"670-740
(Very Good)",>3x
54,8.06,7.57,60,834,18,0,Under-Graduate,Salaried,Urban,Female,1,0,0.939,"800+
(Exceptional)",<1x
61,3.23,1.81,24,746,3,0,Graduate,Salaried,Urban,Female,1,0,0.56,"740-800
(Excellent)",<1x
60,5.82,18.6,48,787,5,1,Post-Graduate,Salaried,Semi-Urban,Female,0,0,3.196,"740-800
(Excellent)",>3x
39,7.51,24.97,36,740,16,2,Graduate,Salaried,Semi-Urban,Male,1,0,3.325,"670-740
(Very Good)",>3x
61,3.81,3.51,36,784,4,1,Diploma,Salaried,Urban,Male,0,1,0.921,"740-800
(Excellent)",<1x
